Nth, string addition, bignum fast doubling 
658 ,1158377,8157
659 ,1162404,8201
660 ,1162292,8195
661 ,1164314,8126
662 ,1167808,8245
663 ,1167562,8112
664 ,1169007,8263
665 ,1170743,8182
666 ,1174528,8127
667 ,1174127,8180
668 ,1175966,8182
669 ,1179967,9731
670 ,1179274,8267
671 ,1181044,8202
672 ,1185143,8118
673 ,1184836,8147
674 ,1186281,8153
675 ,1188411,8302
676 ,1194340,8120
677 ,1191677,8194
678 ,1193319,8196
679 ,1197504,8300
680 ,1196796,8205
681 ,1235585,8173
682 ,1219319,8261
683 ,1217587,8343
684 ,1219291,8214
685 ,1220886,9653
686 ,1224549,8303
687 ,1224330,8303
688 ,1226284,8213
689 ,1232063,8259
690 ,1230140,8342
691 ,1231409,8364
692 ,1235450,8238
693 ,1234949,8239
694 ,1236492,8297
695 ,1240422,8242
696 ,1239888,8246
697 ,1241840,8259
698 ,1245568,8291
699 ,1245817,8297
700 ,1247602,8248
701 ,1251192,10195
702 ,1257744,8358
703 ,1254042,8361
704 ,1254089,8177
705 ,1257805,8309
706 ,1257273,8249
707 ,1259191,8292
708 ,1263006,8270
709 ,1262584,8255
710 ,1264360,8319
711 ,1268100,8322
712 ,1267663,8389
713 ,1269455,8279
714 ,1273817,8289
715 ,1273112,8739
716 ,1274656,8348
717 ,1278589,9904
718 ,1278146,8331
719 ,1279960,8376
720 ,1283913,8296
721 ,1283436,8439
722 ,1284959,8354
723 ,1286909,8349
724 ,1290819,8246
725 ,1291159,8369
726 ,1293240,8414
727 ,1297204,8400
728 ,1298210,8291
729 ,1298429,8426
730 ,1302628,8424
731 ,1300991,8420
732 ,1302405,8414
733 ,1306689,10008
734 ,1305981,8560
735 ,1307718,8562
736 ,1311499,8539
737 ,1311138,8613
738 ,1313066,8716
739 ,1316830,8736
740 ,1316357,8896
741 ,1318100,8780
742 ,1321929,9132
743 ,1321563,8810
744 ,1323368,9024
745 ,1327396,8894
746 ,1326808,8903
747 ,1328678,8866
748 ,1332510,8941
749 ,1333475,10400
750 ,1334536,8962
751 ,1338357,8982
752 ,1337350,9022
753 ,1340364,8983
754 ,1344650,8954
755 ,1343070,9011
756 ,1344433,9014
757 ,1348246,8948
758 ,1347644,8990
759 ,1349328,8955
760 ,1353415,8965
761 ,1353007,9011
762 ,1354565,8936
763 ,1360355,9004
764 ,1358254,9037
765 ,1359913,10598
766 ,1363629,9115
767 ,1363813,9053
768 ,1367859,9056
769 ,1366942,8912
770 ,1368789,9021
771 ,1372422,8885
772 ,1372653,8939
773 ,1375218,8988
774 ,1379508,8983
775 ,1378035,8987
776 ,1379437,9032
777 ,1383846,9074
778 ,1383689,9056
779 ,1384568,8997
780 ,1388392,8995
781 ,1387709,10414
782 ,1389283,9087
783 ,1393406,9038
784 ,1392897,9025
785 ,1394523,8956
786 ,1398775,9072
787 ,1398083,9005
788 ,1399961,9161
789 ,1403568,9025
790 ,1403276,9052
791 ,1407504,9060
792 ,1406876,9039
793 ,1408444,9119
794 ,1412800,9088
795 ,1412667,9060
796 ,1415785,9053
797 ,1418531,10586
798 ,1417446,9174
799 ,1419287,9108
800 ,1423274,9091
801 ,1423764,9111
802 ,1425006,8997
803 ,1428449,9080
804 ,1427785,9047
805 ,1431654,9165
806 ,1431944,9125
807 ,1433083,9302
808 ,1436741,9057
809 ,1436234,9447
810 ,1438167,9075
811 ,1441975,9177
812 ,1441734,9110
813 ,1443155,10570
814 ,1447102,9103
815 ,1446902,9172
816 ,1450726,9155
817 ,1450917,9203
818 ,1453512,9148
819 ,1457054,9130
820 ,1455272,9100
821 ,1457142,9288
822 ,1461021,9313
823 ,1460990,9420
824 ,1463477,9251
825 ,1466712,9231
826 ,1466017,9333
827 ,1470020,9388
828 ,1469385,9442
829 ,1471226,10984
830 ,1475500,9542
831 ,1474567,9482
832 ,1476290,9557
833 ,1480154,9631
834 ,1479957,9690
835 ,1483992,9498
836 ,1483332,9446
837 ,1485133,9507
838 ,1489351,9417
839 ,1489299,9527
840 ,1491177,9481
841 ,1497232,9486
